date,narration,credit_amount,debit_amount,balance,transaction_id,mode,counterparty,company_name,company_gstin,actual_bank_credits_cr,gstr1_reported_sales,gstr3b_taxable_sales
2023-04-02,NEFT from Nestle India,52.04,0,50052.04,TXN100000,RTGS,Nestle India,Infosys,29AABCI1682H1ZJ,81495.0,162990.0,158500.0
2023-04-02,NEFT from Hexaware Technologies,47.9,0,50309.75,TXN100004,CHEQUE,Hexaware Technologies,Infosys,29AABCI1682H1ZJ,81495.0,162990.0,158500.0
2023-04-02,Vendor payment Hindalco Industries,0,39.21,56069.74,TXN100317,CHEQUE,Hindalco Industries,TCS,27AAATC2206H1ZN,127662.0,255324.0,242000.0
2023-04-03,NEFT from ITC Ltd,101.65,0,55695.96,TXN100305,IMPS,ITC Ltd,TCS,27AAATC2206H1ZN,127662.0,255324.0,242000.0
2023-04-03,NEFT from Mahindra Group,67.2,0,61639.19,TXN100632,UPI,Mahindra Group,Tata_Steel,21AAACT2636Q1ZR,114585.0,229171.0,195000.0
2023-04-03,Vendor payment Hindalco Industries,0,75.16,61579.73,TXN100639,RTGS,Hindalco Industries,Tata_Steel,21AAACT2636Q1ZR,114585.0,229171.0,195000.0
2023-04-04,NEFT from Mastek Ltd,67.97,0,50210.92,TXN100002,NEFT,Mastek Ltd,Infosys,29AABCI1682H1ZJ,81495.0,162990.0,158500.0
2023-04-04,NEFT from Asian Paints,50.94,0,50261.86,TXN100003,CHEQUE,Asian Paints,Infosys,29AABCI1682H1ZJ,81495.0,162990.0,158500.0
2023-04-05,NEFT from Maruti Suzuki,106.27,0,50684.57,TXN100009,CHEQUE,Maruti Suzuki,Infosys,29AABCI1682H1ZJ,81495.0,162990.0,158500.0
2023-04-05,Vendor payment Hindalco Industries,0,25.52,50587.97,TXN100011,IMPS,Hindalco Industries,Infosys,29AABCI1682H1ZJ,81495.0,162990.0,158500.0
2023-04-05,NEFT from Bajaj Auto,30.47,0,61669.66,TXN100633,CHEQUE,Bajaj Auto,Tata_Steel,21AAACT2636Q1ZR,114585.0,229171.0,195000.0
2023-04-06,Loan repayment HDFC Bank,0,19.9,50084.22,TXN100021,RTGS,HDFC Bank,Infosys,29AABCI1682H1ZJ,81495.0,162990.0,158500.0
2023-04-06,NEFT from Titan Company,71.5,0,56029.06,TXN100310,IMPS,Titan Company,TCS,27AAATC2206H1ZN,127662.0,255324.0,242000.0
2023-04-06,Loan repayment HDFC Bank,0,12.95,55678.24,TXN100325,RTGS,HDFC Bank,TCS,27AAATC2206H1ZN,127662.0,255324.0,242000.0
2023-04-06,Loan repayment HDFC Bank,0,16.48,61149.36,TXN100647,RTGS,HDFC Bank,Tata_Steel,21AAACT2636Q1ZR,114585.0,229171.0,195000.0
2023-04-07,NEFT from Larsen Toubro,37.11,0,55882.76,TXN100308,UPI,Larsen Toubro,TCS,27AAATC2206H1ZN,127662.0,255324.0,242000.0
2023-04-07,NEFT from NTPC Ltd,88.76,0,61758.42,TXN100634,UPI,NTPC Ltd,Tata_Steel,21AAACT2636Q1ZR,114585.0,229171.0,195000.0
2023-04-07,Vendor payment Vedanta Ltd,0,81.76,61654.88,TXN100638,RTGS,Vedanta Ltd,Tata_Steel,21AAACT2636Q1ZR,114585.0,229171.0,195000.0
2023-04-08,NEFT from ITC Ltd,39.2,0,50578.29,TXN100008,UPI,ITC Ltd,Infosys,29AABCI1682H1ZJ,81495.0,162990.0,158500.0
2023-04-08,Vendor payment Indian Oil Corp,0,69.13,50215.43,TXN100017,NEFT,Indian Oil Corp,Infosys,29AABCI1682H1ZJ,81495.0,162990.0,158500.0
2023-04-08,NEFT from Asian Paints,104.52,0,61427.79,TXN100628,IMPS,Asian Paints,Tata_Steel,21AAACT2636Q1ZR,114585.0,229171.0,195000.0
2023-04-09,Vendor payment Bharat Components,0,46.61,50315.95,TXN100015,UPI,Bharat Components,Infosys,29AABCI1682H1ZJ,81495.0,162990.0,158500.0
2023-04-09,Vendor payment Coal India Ltd,0,63.46,55860.04,TXN100320,RTGS,Coal India Ltd,TCS,27AAATC2206H1ZN,127662.0,255324.0,242000.0
2023-04-11,NEFT from Hexaware Technologies,44.22,0,56163.29,TXN100312,UPI,Hexaware Technologies,TCS,27AAATC2206H1ZN,127662.0,255324.0,242000.0
2023-04-11,Vendor payment GAIL India,0,62.49,55923.5,TXN100319,IMPS,GAIL India,TCS,27AAATC2206H1ZN,127662.0,255324.0,242000.0
2023-04-11,Vendor payment UltraTech Cement,0,22.34,55754.47,TXN100322,IMPS,UltraTech Cement,TCS,27AAATC2206H1ZN,127662.0,255324.0,242000.0
2023-04-11,NEFT from Mahindra Group,81.61,0,61074.7,TXN100624,CHEQUE,Mahindra Group,Tata_Steel,21AAACT2636Q1ZR,114585.0,229171.0,195000.0
2023-04-11,NEFT from Wipro Ltd,55.89,0,61234.24,TXN100626,NEFT,Wipro Ltd,Tata_Steel,21AAACT2636Q1ZR,114585.0,229171.0,195000.0
